Loading test data from: /home/sagemaker-user/evolve/EoH/examples/user_fssp_gls/TestingData/Taillard
  20x5: 10 instances
  20x10: 10 instances
  20x20: 10 instances
  50x5: 10 instances
  50x10: 10 instances
  50x20: 10 instances
  100x5: 10 instances
  100x10: 10 instances
  100x20: 10 instances
  200x10: 10 instances
  200x20: 10 instances

Warming up numba JIT...
Done.

Evaluating heuristic: experiments/eoh-problems/fssp_gls/qwen/reviews/qwen_full_3/0/best_sol.py

  20x5 inst 1/10: makespan=1286, UB=1278, gap=0.63%
  50x10 inst 5/10: makespan=3007, UB=2986, gap=0.70%
  50x10 inst 6/10: makespan=3006, UB=3006, gap=0.00%
  50x10 inst 7/10: makespan=3124, UB=3107, gap=0.55%
  50x10 inst 8/10: makespan=3042, UB=3039, gap=0.10%
  50x10 inst 9/10: makespan=2905, UB=2902, gap=0.10%
  50x10 inst 10/10: makespan=3099, UB=3091, gap=0.26%
  50x10 done: avg gap=0.27%, time=80.3s

  50x20 inst 1/10: makespan=3875, UB=3875, gap=0.00%
  50x20 inst 2/10: makespan=3739, UB=3715, gap=0.65%
  50x20 inst 3/10: makespan=3718, UB=3668, gap=1.36%
  50x20 inst 4/10: makespan=3771, UB=3752, gap=0.51%
  50x20 inst 5/10: makespan=3658, UB=3635, gap=0.63%
  50x20 inst 6/10: makespan=3714, UB=3698, gap=0.43%
  50x20 inst 7/10: makespan=3745, UB=3716, gap=0.78%
  50x20 inst 8/10: makespan=3752, UB=3709, gap=1.16%
  50x20 inst 9/10: makespan=3785, UB=3765, gap=0.53%
  50x20 inst 10/10: makespan=3808, UB=3777, gap=0.82%
  50x20 done: avg gap=0.69%, time=176.8s

  100x5 inst 1/10: makespan=5493, UB=5493, gap=0.00%
  100x5 inst 2/10: makespan=5280, UB=5268, gap=0.23%
  100x5 inst 3/10: makespan=5175, UB=5175, gap=0.00%
  100x5 inst 4/10: makespan=5017, UB=5014, gap=0.06%
  100x5 inst 5/10: makespan=5253, UB=5250, gap=0.06%
  100x5 inst 6/10: makespan=5135, UB=5135, gap=0.00%
  100x5 inst 7/10: makespan=5246, UB=5246, gap=0.00%
  100x5 inst 8/10: makespan=5098, UB=5106, gap=-0.16%
  100x5 inst 9/10: makespan=5448, UB=5454, gap=-0.11%
  100x5 inst 10/10: makespan=5322, UB=5328, gap=-0.11%
  100x5 done: avg gap=-0.00%, time=220.9s

  100x10 inst 1/10: makespan=5770, UB=5770, gap=0.00%
  100x10 inst 2/10: makespan=5349, UB=5349, gap=0.00%
  100x10 inst 3/10: makespan=5679, UB=5677, gap=0.04%
  100x10 inst 4/10: makespan=5811, UB=5791, gap=0.35%
  100x10 inst 5/10: makespan=5503, UB=5468, gap=0.64%
  100x10 inst 6/10: makespan=5308, UB=5303, gap=0.09%
  100x10 inst 7/10: makespan=5602, UB=5599, gap=0.05%
  100x10 inst 8/10: makespan=5626, UB=5623, gap=0.05%
  100x10 inst 9/10: makespan=5884, UB=5875, gap=0.15%
  100x10 inst 10/10: makespan=5848, UB=5845, gap=0.05%
  100x10 done: avg gap=0.14%, time=438.1s

  100x20 inst 1/10: makespan=6325, UB=6286, gap=0.62%
  100x20 inst 2/10: makespan=6275, UB=6241, gap=0.54%
  100x20 inst 3/10: makespan=6358, UB=6329, gap=0.46%
  100x20 inst 4/10: makespan=6332, UB=6306, gap=0.41%
  100x20 inst 5/10: makespan=6387, UB=6377, gap=0.16%
  100x20 inst 6/10: makespan=6455, UB=6437, gap=0.28%
  100x20 inst 7/10: makespan=6381, UB=6346, gap=0.55%
  100x20 inst 8/10: makespan=6511, UB=6481, gap=0.46%
  100x20 inst 9/10: makespan=6374, UB=6358, gap=0.25%
  100x20 inst 10/10: makespan=6513, UB=6465, gap=0.74%
  100x20 done: avg gap=0.45%, time=604.5s

  200x10 inst 1/10: makespan=10872, UB=10868, gap=0.04%
  200x10 inst 2/10: makespan=10531, UB=10494, gap=0.35%
  200x10 inst 3/10: makespan=11017, UB=10922, gap=0.87%
  200x10 inst 4/10: makespan=10893, UB=10889, gap=0.04%
  200x10 inst 5/10: makespan=10537, UB=10524, gap=0.12%
  200x10 inst 6/10: makespan=10375, UB=10331, gap=0.43%
  200x10 inst 7/10: makespan=10860, UB=10857, gap=0.03%
  200x10 inst 8/10: makespan=10754, UB=10731, gap=0.21%
  200x10 inst 9/10: makespan=10465, UB=10438, gap=0.26%
  200x10 inst 10/10: makespan=10727, UB=10676, gap=0.48%
  200x10 done: avg gap=0.28%, time=629.1s

  200x20 inst 1/10: makespan=11407, UB=11294, gap=1.00%
  200x20 inst 2/10: makespan=11412, UB=11420, gap=-0.07%
  200x20 inst 3/10: makespan=11493, UB=11446, gap=0.41%
  200x20 inst 4/10: makespan=11480, UB=11347, gap=1.17%
  200x20 inst 5/10: makespan=11414, UB=11311, gap=0.91%
  200x20 inst 6/10: makespan=11349, UB=11282, gap=0.59%
  200x20 inst 7/10: makespan=11567, UB=11456, gap=0.97%
  200x20 inst 8/10: makespan=11518, UB=11415, gap=0.90%
  200x20 inst 9/10: makespan=11421, UB=11343, gap=0.69%
  200x20 inst 10/10: makespan=11509, UB=11422, gap=0.76%
  200x20 done: avg gap=0.73%, time=633.4s


### Table 12: Flow Shop Scheduling Results (Taillard Benchmarks)
Average gap (%) to Taillard upper bound (lower is better). 10 instances per set.

| Method | n20m5 | n20m10 | n20m20 | n50m5 | n50m10 | n50m20 | n100m5 | n100m10 | n100m20 | n200m10 | n200m20 | Avg |
|---|---|---|---|---|---|---|---|---|---|---|---|---|
| NEH | 3.24 | 4.05 | 3.06 | 0.57 | 3.47 | 5.48 | 0.39 | 2.07 | 3.58 | 0.98 | 2.90 | 2.71 |
| NEHFF | 2.30 | 4.15 | 2.72 | 0.40 | 3.62 | 5.10 | 0.31 | 1.88 | 3.73 | 0.70 | 2.52 | 2.49 |
| LS | 1.91 | 2.77 | 2.60 | 0.32 | 3.33 | 4.67 | 0.28 | 1.38 | 3.51 | 0.87 | 2.53 | 2.20 |
| ILS1 | 0.42 | 0.33 | 0.29 | 0.15 | 1.47 | 2.13 | 0.20 | 0.77 | 2.27 | 0.74 | 2.26 | 1.00 |
| ILS2 | 0.18 | 0.25 | 0.25 | 0.32 | 0.29 | 0.34 | 0.38 | 0.34 | 0.43 | 0.54 | 0.59 | 0.36 |
| EoH | 0.09 | 0.30 | 0.10 | 0.02 | 0.19 | 0.60 | -0.04 | 0.14 | 0.41 | 0.12 | 0.61 | 0.23 |
| **CodeEvolve** | **0.79** | **0.34** | **0.16** | **0.05** | **0.27** | **0.69** | **-0.00** | **0.14** | **0.45** | **0.28** | **0.73** | **0.36** |

